,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
0,220.0775,12.3263,12.8126,174.045,211.6344,284.2892,2496.6766,459.0039,9865.386,36838.5721,37037.5145,0.85981,0.14019,230.274,19.9427,148.822,0.16012,0.041135,2.5551,23.3412,7.6878,3.057,3260.3706,1070.0913,0.20391,0.027183,0.047939,-310.8937,-20.2956,155.7981,46.5698,-34.509,66.88,119.2868,-657.0071,-87.0116,206.2984,-0.18407,3.79,7.6335,1.8669,Good
1,216.0915,8.1211,11.9798,178.2405,195.6437,271.491,2495.9274,319.8825,10205.4683,81666.6612,80426.8179,0.60377,0.39623,225.83,22.6035,131.2245,0.17906,0.040463,2.9095,1.4785,9.193,4.2557,4532.9321,1420.7729,0.19734,0.030017,0.046375,-224.2547,9.8777,94.0664,67.3927,-35.2358,78.6222,117.3675,-443.8268,-101.6375,219.005,-0.54922,-4.2705,7.5783,2.0262,Good
2,211.8467,10.7979,11.419,178.0001,188.3602,246.0608,2283.5418,408.0169,11813.4106,42873.6888,78692.8214,0.87156,0.12844,226.0876,19.0583,158.764,0.049606,0.034165,4.6749,48.0839,4.2641,0.10213,16508.0521,2610.2011,0.19413,0.024717,0.041238,-343.179,-25.4081,205.6218,47.7281,-38.0692,60.5064,83.0027,-868.6282,-136.7953,219.7981,17.7373,-6.1941,2.4905,1.1824,Good
3,214.9099,10.5054,13.2807,141.7616,228.5704,334.1286,3275.9483,453.0995,14414.0219,60668.8849,75541.9313,0.61321,0.38679,225.339,15.7322,118.2715,0.15728,0.039275,2.5403,21.3275,6.9578,59.8856,3041.5046,1086.1186,0.20957,0.028635,0.052326,-241.5411,8.7658,105.9326,68.2801,-31.66,72.8555,121.9409,-478.6623,-118.3031,240.244,-1.097,4.005,6.93,1.8443,Good
4,216.7382,11.018,12.051,194.5135,189.7581,299.6605,3465.1921,205.5389,11781.4251,67189.7347,50317.5063,0.84906,0.15094,228.9883,21.2631,145.0239,0.1703,0.040133,2.7426,4.3599,9.3319,77.4863,4492.233,1310.4829,0.19885,0.021469,0.046517,-354.7465,-25.6787,216.2911,52.0631,-37.6782,41.8182,102.8477,-919.1374,-164.7282,267.576,0.018363,-3.7618,7.7442,1.883,Good
5,204.8168,7.5686,11.1226,199.8738,239.099,295.4387,2762.5137,402.5108,12633.5617,64022.1573,87032.7052,0.6729,0.3271,215.7354,21.3813,118.2779,0.16291,0.038712,3.1315,2.3371,8.729,5.991,4993.4433,1757.0697,0.18664,0.032374,0.041732,-215.8182,5.5285,98.5947,69.3423,-36.7437,92.4884,116.8393,-447.2386,-109.2478,226.0871,-0.40402,-4.0979,6.9234,1.9679,Good
6,201.6202,10.7575,10.7158,191.4301,243.6987,280.5451,2711.5264,494.4068,15399.1736,35268.3118,77188.2884,0.84259,0.15741,212.244,24.9777,129.4134,0.15924,0.040171,2.6875,20.0799,7.3982,11.7699,3553.3362,1266.4356,0.1829,0.027824,0.039031,-271.1702,-19.0445,132.3011,50.4028,-36.7418,75.6881,111.7146,-571.7079,-105.9435,217.6581,-0.38944,3.6098,6.5606,1.8553,Good
7,195.7287,9.3776,9.9075,193.4534,228.6309,268.1546,2523.4717,392.5301,17063.9225,699390.6029,102661.8159,0.82407,0.17593,207.8737,25.2476,112.3229,0.029431,0.022385,1.3988,2.6388,1.888,3.4281,920.1438,689.2576,0.17797,0.026937,0.038498,-293.9158,-16.3494,181.0592,51.3687,-29.8979,47.1143,104.1495,-823.6744,-117.7912,221.9407,12.6529,1.5113,0.67475,1.528,Good
8,206.2851,7.1919,10.5436,155.7877,203.6525,270.6327,3239.1583,373.7271,12050.8464,86790.2248,50119.411,0.60185,0.39815,215.8239,16.6313,118.7965,0.16084,0.034639,2.3438,19.9572,7.1811,62.6853,3287.0632,1049.3906,0.19481,0.027734,0.041531,-210.9108,13.2697,92.8929,58.8811,-21.9264,66.4731,109.5468,-436.0044,-95.5337,205.0805,-0.52688,3.397,6.746,1.7312,Good
9,212.4116,10.6975,10.8447,195.0451,203.6437,262.7217,3272.5215,308.3069,12068.3733,99837.442,63172.7757,0.76991,0.23009,220.8539,18.8733,136.0623,0.20584,0.049741,1.7166,0.20172,5.9672,25.8807,895.5901,271.6279,0.19639,0.023759,0.038329,-308.8696,-10.8699,211.205,59.0323,-30.184,53.7581,121.7097,-858.3032,-111.1299,232.8397,-1.3818,-2.9541,8.6285,2.4236,Good
