,std_AP_COM,std_ML_COM,std_vertical_COM,std_AP_vCOM,std_ML_vCOM,std_vertical_vCOM,max_AP_vCOM,max_ML_vCOM,std_vertical_aCOM,max_ML_aCOM,max_AP_aCOM,SS_duration_ratio,DS_duration_ratio,std_length,std_width,max_clearance,std_AP_COP,std_ML_COP,std_ML_vCOP,max_ML_vCOP,std_AP_vCOP,max_AP_vCOP,std_AP_aCOP,std_ML_aCOP,std_AP_xCOM,std_ML_xCOM,std_vertical_xCOM,mean_AP_MOS,mean_ML_MOS,std_AP_MOS,std_ML_MOS,mean_ML_SS_MOS,mean_ML_DS_MOS,max_ML_MOS,min_AP_MOS,min_ML_MOS,ROM_ML_MOS,mean_AP_IA,mean_ML_IA,std_AP_IA,std_ML_IA,target_performance
0,225.3941,13.7379,14.4676,242.3234,225.1918,320.1764,2016.8228,420.6908,6592.8798,7296.3963,9585.3182,0.85981,0.14019,230.274,19.9427,148.822,0.16012,0.041135,2.5551,23.3412,7.6878,3.057,3260.3706,1070.0913,0.21749,0.029916,0.054288,-308.644,-13.9262,159.6937,49.7413,-31.0797,91.2821,109.7167,-665.7725,-91.1755,200.8921,-0.45788,3.7046,7.853,1.8426,Good
1,215.7082,9.1494,14.0027,191.5432,213.8965,313.8283,2479.8239,337.6102,7378.86,8115.5177,9947.6646,0.60377,0.39623,225.83,22.6035,131.2245,0.17906,0.040463,2.9095,1.4785,9.193,4.2557,4532.9321,1420.7729,0.19719,0.032831,0.053556,-224.9415,8.5019,88.2713,63.7174,-30.8804,68.513,103.2227,-442.3681,-98.9281,202.1508,-0.52331,-4.174,7.5574,2.0009,Good
2,211.0191,11.8203,13.4648,191.841,201.5645,287.8133,2372.1007,377.299,6408.1304,2837.3388,7292.8728,0.87156,0.12844,226.0876,19.0583,158.764,0.049606,0.034165,4.6749,48.0839,4.2641,0.10213,16508.0521,2610.2011,0.19425,0.026574,0.048441,-343.2944,-27.0421,205.7918,46.2052,-35.3796,29.5339,78.0296,-863.1321,-132.8963,210.9258,17.7897,-6.2045,2.4831,1.1891,Good
3,214.4471,11.5293,15.4618,158.5032,249.4564,384.171,3295.6795,441.1573,9757.4346,3001.5304,10284.6795,0.61321,0.38679,225.339,15.7322,118.2715,0.15728,0.039275,2.5403,21.3275,6.9578,59.8856,3041.5046,1086.1186,0.21046,0.03162,0.060278,-241.4426,9.2459,100.9885,65.4238,-27.4358,67.3999,116.4495,-480.5285,-115.1524,231.6019,-1.0759,3.8958,6.9163,1.8174,Good
4,216.1303,11.9675,14.2662,207.3971,203.7496,351.7096,3372.2676,239.5329,8667.4871,6478.9886,9657.4711,0.84906,0.15094,228.9883,21.2631,145.0239,0.1703,0.040133,2.7426,4.3599,9.3319,77.4863,4492.233,1310.4829,0.19835,0.022976,0.054581,-354.7845,-17.1524,215.6299,53.3857,-34.73,81.7217,100.7814,-910.2079,-133.6831,234.4645,0.0056386,-3.6777,7.7185,1.859,Good
5,203.9499,8.5361,12.9901,217.0504,262.4736,342.7059,2786.9649,425.7384,9619.1872,8527.3669,9024.2561,0.6729,0.3271,215.7354,21.3813,118.2779,0.16291,0.038712,3.1315,2.3371,8.729,5.991,4993.4433,1757.0697,0.18589,0.035527,0.048383,-215.6879,3.4327,94.2512,66.2098,-32.9136,78.2021,110.1942,-442.4958,-105.4493,215.6436,-0.37022,-3.9991,6.8835,1.9429,Good
6,201.1459,11.7342,12.5715,211.469,264.5131,323.8738,2716.2553,466.2643,8454.9289,3656.3127,11242.8288,0.84259,0.15741,212.244,24.9777,129.4134,0.15924,0.040171,2.6875,20.0799,7.3982,11.7699,3553.3362,1266.4356,0.18212,0.030539,0.0452,-271.5592,-20.1727,130.7069,48.8363,-34.245,55.1556,104.1789,-577.2806,-105.9855,210.1644,-0.37038,3.5085,6.5269,1.8282,Good
7,195.0945,10.3345,11.6406,209.0085,224.375,309.3717,2628.1212,289.1374,8546.8188,37680.7045,12271.1451,0.82407,0.17593,207.8737,25.2476,112.3229,0.029431,0.022385,1.3988,2.6388,1.888,3.4281,920.1438,689.2576,0.17697,0.025463,0.044392,-293.8285,-12.2838,179.5446,52.7437,-28.3982,63.1996,100.7116,-814.2118,-114.4803,215.1919,12.6761,1.508,0.67371,1.5069,Good
8,205.797,8.0417,12.4667,174.6809,218.8895,316.1048,3181.0372,344.7267,8216.5507,2653.4165,8745.0348,0.60185,0.39815,215.8239,16.6313,118.7965,0.16084,0.034639,2.3438,19.9572,7.1811,62.6853,3287.0632,1049.3906,0.1947,0.029708,0.048349,-211.0009,5.972,87.8428,57.3992,-17.8807,42.0285,93.4114,-425.7761,-95.2926,188.704,-0.52718,3.3093,6.7212,1.7112,Good
9,211.5303,11.6944,12.7344,217.4247,222.2096,302.5785,3234.6896,314.3259,7593.967,7646.2827,10011.7629,0.76991,0.23009,220.8539,18.8733,136.0623,0.20584,0.049741,1.7166,0.20172,5.9672,25.8807,895.5901,271.6279,0.19528,0.026214,0.044353,-308.6469,-7.9285,210.4011,58.9159,-28.0516,59.4066,120.8096,-854.0973,-111.2211,232.0307,-1.3901,-2.8642,8.5786,2.3887,Good
